ACVD,CAD,CAD;T2D,CRC,HF;CAD,HF;CAD;T2D,IBD,IGT,ME/CFS,STH,T2D,adenoma,ascites;cirrhosis,ascites;cirrhosis;hepatitis,carcinoma_surgery_history,cirrhosis,cirrhosis;hepatitis,few_polyps,healthy,hypertension,schizophrenia
Weissella_confusa,Eubacterium_dolichum_CAG_375,Erysipelothrix_larvae,Treponema_socranskii,Haemophilus_parainfluenzae,Bifidobacterium_breve,Actinomyces_odontolyticus,Actinomyces_sp_oral_taxon_181,Collinsella_stercoris,Bacteroides_finegoldii,Peptoniphilus_lacrimalis,Peptostreptococcus_stomatis,Bacteroides_nordii,Prevotella_sp_oral_taxon_306,Atopobium_parvulum,Aeriscardovia_aeriphila,Prevotella_nigrescens,Faecalibacterium_prausnitzii,Prevotella_salivae,Actinomyces_graevenitzii,Melissococcus_sp_OM08_11BH
Actinomyces_massiliensis,Stomatobaculum_longum,Bacteroides_caecimuris,Treponema_denticola,Streptococcus_vestibularis,Lachnoclostridium_sp_An131,Scardovia_wiggsiae,Peptoniphilus_harei,Firmicutes_bacterium_CAG_555,Eggerthella_lenta,Bacteroides_coagulans,Olsenella_uli,Lactobacillus_fermentum,Prevotella_denticola,Stomatobaculum_longum,Aggregatibacter_segnis,Prevotella_multiformis,Phascolarctobacterium_succinatutens,Prevotella_melaninogenica,Stomatobaculum_longum,Proteus_penneri
Pediococcus_pentosaceus,Leuconostoc_carnosum,Neisseria_subflava,Selenomonas_sp_FOBRC6,Veillonella_tobetsuensis,Catabacter_hongkongensis,Actinomyces_sp_S6_Spd3,Cutibacterium_acnes,Bulleidia_extructa,Bacteroides_ovatus,Porphyromonas_sp_HMSC065F10,Prevotella_oralis,Bacteroides_massiliensis,Prevotella_salivae,Actinomyces_graevenitzii,Haemophilus_parainfluenzae,Streptococcus_pseudopneumoniae,Firmicutes_bacterium_CAG_83,Prevotella_histicola,Corynebacterium_durum,Blautia_hydrogenotrophica
Enterococcus_italicus,Absiella_dolichum,Neisseria_sicca,Oribacterium_sp_oral_taxon_078,Veillonella_infantium,Enterorhabdus_caecimuris,Abiotrophia_defectiva,Propionibacterium_acidifaciens,Actinomyces_sp_HPA0247,Bacteroides_clarus,Porphyromonas_uenonis,Leuconostoc_mesenteroides,Lactobacillus_oris,Lachnoanaerobaculum_saburreum,Oribacterium_sinus,Gemella_sanguinis,Lactococcus_petauri,Lawsonibacter_asaccharolyticus,Prevotella_baroniae,Actinomyces_odontolyticus,Enterococcus_faecalis
Enterococcus_sulfureus,Atopobium_rimae,Fusobacterium_periodonticum,Treponema_sp_OMZ_838,Streptococcus_mitis,Lachnoclostridium_sp_An14,Cardiobacterium_hominis,Enterobacter_cloacae_complex,Actinomyces_sp_oral_taxon_181,Clostridium_bolteae_CAG_59,Anaerococcus_vaginalis,Proteus_vulgaris,Klebsiella_michiganensis,Prevotella_jejuni,Prevotella_melaninogenica,Streptococcus_oralis,Oribacterium_sp_oral_taxon_078,Slackia_isoflavoniconvertens,Prevotella_oris,Pseudopropionibacterium_propionicum,Corynebacterium_falsenii
Leuconostoc_pseudomesenteroides,Megasphaera_micronuciformis,Neisseria_flavescens,Selenomonas_sp_oral_taxon_126,Aggregatibacter_segnis,Odoribacter_laneus,Tannerella_sp_oral_taxon_HOT_286,Peptoniphilus_coxii,Actinomyces_graevenitzii,Clostridium_citroniae,Prevotella_sp_S7_1_8,Pseudoramibacter_alactolyticus,Lactobacillus_panis,Stomatobaculum_longum,Oribacterium_asaccharolyticum,Gemella_bergeri,Eubacterium_sulci,Bacteroides_faecis,Treponema_denticola,Actinomyces_sp_HMSC035G02,Macrococcus_caseolyticus
Actinomyces_georgiae,Massiliomicrobiota_timonensis,Dorea_sp_CAG_317,Leptotrichia_wadei,Megamonas_funiformis_CAG_377,Barnesiella_viscericola,Selenomonas_noxia,Citrobacter_farmeri,Oribacterium_sinus,Clostridium_symbiosum,Peptoniphilus_sp_HMSC062D09,Slackia_exigua,Eisenbergiella_tayi,Scardovia_wiggsiae,Prevotella_nigrescens,Streptococcus_sp_HPH0090,Faecalicatena_orotica,Coprococcus_catus,Tannerella_forsythia,Actinomyces_sp_oral_taxon_897,Proteus_vulgaris
Corynebacterium_matruchotii,Lactobacillus_curvatus,Eubacterium_dolichum_CAG_375,Neisseria_elongata,Megasphaera_micronuciformis,Fusobacterium_sp_CAG_439,Lautropia_mirabilis,Lactobacillus_crispatus,Acidovorax_caeni,Lawsonibacter_asaccharolyticus,Peptoniphilus_coxii,Olsenella_profusa,Ruminococcus_callidus,Corynebacterium_matruchotii,Actinomyces_sp_ICM47,Shuttleworthia_satelles,Bulleidia_extructa,Bacteroides_intestinalis,Prevotella_scopos,Actinomyces_massiliensis,Hafnia_alvei
Leuconostoc_lactis,Actinomyces_odontolyticus,Anaerotignum_lactatifermentans,Haemophilus_parainfluenzae,Fusobacterium_nucleatum,Clostridium_sp_CAG_242,Cardiobacterium_valvarum,Lactobacillus_vaginalis,Allisonella_histaminiformans,Clostridium_asparagiforme,Corynebacterium_amycolatum,Mogibacterium_pumilum,Streptococcus_downei,Eikenella_sp_NML130454,Paraprevotella_clara,Prevotella_sp_F0091,Leptotrichia_sp_oral_taxon_498,Alistipes_shahii,Prevotella_dentalis,Acidovorax_sp_MR_S7,Enterorhabdus_caecimuris
Eubacterium_nodatum,Actinomyces_sp_ICM47,Absiella_dolichum,Eggerthia_catenaformis,Streptococcus_gordonii,Firmicutes_bacterium_CAG_646,Prevotella_histicola,Citrobacter_amalonaticus,Eubacterium_brachy,Hungatella_hathewayi,Corynebacterium_aurimucosum,Mitsuokella_sp_oral_taxon_131,Actinomyces_sp_oral_taxon_180,Oribacterium_sinus,Streptococcus_mitis,Granulicatella_elegans,Clostridium_scindens,Megasphaera_elsdenii,Eggerthia_catenaformis,Selenomonas_noxia,Lactobacillus_mucosae
